drug,target,value
1,1,8.1
1,2,6.7
1,3,5.9
1,4,7.3
1,5,6.6
1,6,6
1,7,6.9
1,8,7.5
1,9,7.2
1,10,6.1
1,11,6.4
1,12,6.4
1,13,8.3
1,14,7.5
1,15,7.5
1,16,6.7
1,17,8.1
1,18,7.2
1,19,6.7
1,20,5.9
1,21,6
1,22,6.1
1,23,6.7
1,24,6.6
1,25,5.5
1,26,7.1
1,27,8.6
1,28,6.7
1,29,6.6
1,30,7
1,31,7.6
1,32,9.8
1,33,7.1
1,35,8.9
1,36,5.8
1,37,7.2
1,38,7.3
1,39,8.1
1,41,7.2
1,42,6.2
1,43,6
1,44,6.4
1,45,7.7
1,46,6.8
1,48,6.8
1,49,6.8
1,50,7.3
1,51,6.4
1,52,6.3
1,54,6.2
1,55,7.4
1,57,7
1,59,7.4
1,61,8.5
1,63,6.1
1,64,6.4
1,66,7
1,67,6.3
1,68,6.9
1,69,5.5
1,70,5.7
1,71,7.1
1,72,6.1
1,73,7.3
1,74,7.5
1,75,8.3
1,76,6.7
1,79,7.2
1,81,6.4
1,82,6.6
1,83,6.8
1,84,7.3
1,85,7
1,87,7.8
1,89,6.6
1,90,6.6
1,91,7.5
1,92,6
1,93,7.8
1,94,6
1,95,6
1,96,7.9
1,97,7.4
1,99,7.3
1,100,7.7
1,101,6.3
1,102,6
1,104,5.6
1,105,7
1,106,5.2
1,107,7.4
1,108,9.1
1,109,6.6
1,110,7.9
1,113,6.8
1,114,6.4
1,118,6.3
1,119,8.1
1,121,6.8
1,122,5.4
1,123,6
1,124,8
1,125,7.4
1,129,6.2
1,131,5.9
1,136,5.9
1,138,6.5
1,139,6.4
1,140,6.1
1,146,6.1
1,148,6.1
1,150,7.1
1,151,6.9
1,155,5.5
1,157,5.3
1,158,6.1
1,161,5.7
1,162,5.5
2,1,8.1
2,2,6.9
2,3,5.5
2,4,7.5
2,5,5.5
2,6,5.9
2,7,7.4
2,8,8.1
2,9,8.5
2,13,8.5
2,26,7.3
2,27,7.8
2,28,6.1
2,29,6.1
2,30,7.2
2,31,7.4
2,32,9.5
2,33,7.3
2,34,6.2
2,36,6.2
2,37,6.4
2,38,6.4
2,39,8.9
2,41,6.6
2,48,6.7
2,50,6.8
2,51,6.1
2,53,8.7
2,59,7.2
2,61,7.7
2,66,7.9
2,70,5.4
2,71,5.8
2,74,7.4
2,79,7.8
2,80,7.7
2,87,8.3
2,88,9
2,89,7.3
2,90,6.9
2,91,7.7
2,92,6.9
2,93,9.1
2,94,5.7
2,96,7.5
2,98,7.6
2,99,7.1
2,108,8.3
2,109,5.9
2,110,8.2
2,118,6.6
2,119,8.7
2,124,8.5
2,125,7.5
2,126,5.7
