sid,smiles,index,Sid,CID
103904189,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,1,103904189,49830272
103904190,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,2,103904190,49830273
103904191,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,3,103904191,49830274
103904192,Clc1cc(cc(NCc2ccccc2)n1)c3c[nH]c4ncccc34,4,103904192,49830275
103904194,Fc1cccc(C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2)c1F,5,103904194,49830276
103904195,NC(=O)c1cccc(c1)c2cnc3[nH]cc(c4ccccc4)c3c2,6,103904195,49830277
103904196,Fc1cccc(F)c1C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2,7,103904196,49830278
103904197,Clc1cc(nc(NC2CCCCC2)n1)c3c[nH]c4ncccc34,8,103904197,49830279
103904198,c1ccc(cc1)c2ccnc3[nH]ccc23,9,103904198,22477600
103904199,CN(C)C1CCC(CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,10,103904199,49830280
103904201,C(Nc1cc(ncn1)c2c[nH]c3ncccc23)c4ccccc4,11,103904201,11565683
103904202,NC1CCCCC1Nc2nccc(n2)c3c[nH]c4ncccc34,12,103904202,49830281
103904203,N[C@@H]1CC[C@H](CC1)Nc2nccc(n2)c3c[nH]c4ncccc34,13,103904203,44415997
103904204,Clc1cc(NC2CCCCC2)nc(n1)c3c[nH]c4ncccc34,14,103904204,49830282
103904205,C1CCC(CC1)Nc2nccc(n2)c3c[nH]c4ncccc34,15,103904205,44415977
103904206,OC[C@@H](NC(=O)N1CCC(=CC1)c2c[nH]c3ncccc23)c4ccccc4,16,103904206,49830283
103904207,CC(C)(C)Nc1ncnc2[nH]cc(c3ccccc3)c12,17,103904207,49830284
103904208,Nc1nc(Cl)cc(n1)c2c[nH]c3ncccc23,18,103904208,49830285
103904209,OCC(CO)Nc1ncnc2[nH]cc(c3ccccc3)c12,19,103904209,49830286
103904210,COc1cccc(c1)C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2,20,103904210,49830287
103904211,COc1ccc(cc1)C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2,21,103904211,49830288
103904212,OCCCNc1ncnc2[nH]cc(c3ccccc3)c12,22,103904212,49830289
103904213,Clc1ccc(cc1)C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2,23,103904213,49830290
103904214,OC1CCN(CC1)c2ncnc3[nH]cc(c4ccccc4)c23,24,103904214,49830291
103904215,Brc1cnc2[nH]cc(c3ccccc3)c2c1,25,103904215,49830292
103904216,O[C@@H]1CC[C@H](CC1)Nc2cc(Cl)nc(n2)c3c[nH]c4ncccc34,26,103904216,49830293
103904217,NC1CCCC(C1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,27,103904217,49830294
103904218,CC(C)(CN)CNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,28,103904218,49830295
103904219,CC(C)(CNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23)CNS(=O)(=O)C,29,103904219,49830296
103904220,Clc1cc(nc(NC2CCOCC2)n1)c3c[nH]c4ncccc34,30,103904220,49830297
103904221,NCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,31,103904221,49830298
